"ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV12137","NA","NA","NA","NA","NA","NA","NA"
"ASV9521","NA","NA","NA","NA","NA","NA","NA"
"ASV11816","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13761","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV10747","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9288","NA","NA","NA","NA","NA","NA","NA"
"ASV11560","NA","NA","NA","NA","NA","NA","NA"
"ASV7918","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13944","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12186","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13768","NA","NA","NA","NA","NA","NA","NA"
"ASV12282","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13597","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14409","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12506","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12271","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV7885","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV8145","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV8835","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13493","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13664","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13040","Bacteria","Proteobacteria","Alphaproteobacteria","NA","NA","NA","NA"
"ASV13991","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13147","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9090","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12215","NA","NA","NA","NA","NA","NA","NA"
"ASV10946","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV8526","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9704","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV5832","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV6426","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV5518","NA","NA","NA","NA","NA","NA","NA"
"ASV14615","NA","NA","NA","NA","NA","NA","NA"
"ASV8577","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13970","NA","NA","NA","NA","NA","NA","NA"
"ASV9567","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10162","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13922","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11309","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12187","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14710","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14110","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14267","NA","NA","NA","NA","NA","NA","NA"
"ASV12217","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14691","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10945","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10992","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13982","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10932","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14530","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11802","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10950","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12289","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12359","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11863","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11086","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11611","NA","NA","NA","NA","NA","NA","NA"
"ASV13711","NA","NA","NA","NA","NA","NA","NA"
"ASV12136","NA","NA","NA","NA","NA","NA","NA"
"ASV13212","NA","NA","NA","NA","NA","NA","NA"
"ASV12746","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14554","NA","NA","NA","NA","NA","NA","NA"
"ASV12078","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13474","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13304","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV5512","NA","NA","NA","NA","NA","NA","NA"
"ASV8042","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12355","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12382","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV13980","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12294","NA","NA","NA","NA","NA","NA","NA"
"ASV14234","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13613","NA","NA","NA","NA","NA","NA","NA"
"ASV13807","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13624","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10884","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13910","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10134","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10596","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10994","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9686","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10183","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12763","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14004","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9195","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13130","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14698","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13393","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13646","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10948","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12049","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10332","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV6901","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV10148","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV14242","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV12009","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV13622","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11495","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13731","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13790","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13802","NA","NA","NA","NA","NA","NA","NA"
"ASV11499","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV12537","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14173","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV1634","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9976","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV4274","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9666","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11416","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV2003","Bacteria","NA","NA","NA","NA","NA","NA"
